manual_decision,manual_event_type_l1,manual_event_type_l2,manual_primary_asset_symbol,manual_channel_route,manual_useful_for_research,manual_notes,label_source,candidate_id,published_at,published_at_utc,published_at_china,backtest_time,backtest_time_utc,backtest_time_china,source_timezone,source_timezone_assumption,title,content,source,url,primary_asset_symbol,candidate_asset_symbol,event_type_l1,event_type_l2,event_scope,publish_decision,research_priority,channel_route,tradability_tier,tradability_tier_reason,relevance_score_realtime,discard_reason,relevance_flags,detected_entity_names,entity_flags,suggested_manual_decision,suggested_manual_event_type_l1,suggested_manual_event_type_l2,suggested_manual_primary_asset_symbol,suggested_manual_channel_route,suggested_manual_useful_for_research,auto_label_confidence,auto_label_reasons,auto_label_apply,auto_prefilled,manual_review_required,label_origin,review_queue,holdout_audit_required
approve_publish,hack_security,protocol_incident,,alpha_candidate,yes,auto_provisional(conf=0.80),publish_review,cand_00357,2026-05-19 03:00:00 UTC+8,2026-05-18T19:00:00Z,2026-05-19 03:00:00 UTC+8,2026-05-19 03:00:00 UTC+8,2026-05-18T19:00:00Z,2026-05-19 03:00:00 UTC+8,UTC,source_rule:news:cryptonews,"ZachXBT offers $10,000 bounty for evidence against Hong Kong market maker HSBG","ZachXBT is offering up to $10,000 for insider evidence that Hong Kong market maker HSBG manipulated centralized exchange markets, including trades around RIVER.

On-chain sleuth ZachXBT has announced a bounty of up to $10,000 for whistleblowers who can provide credible insider evidence of market manipulation tied to Hong Kong market maker “Heisenberg Guru” (HSBG). In a post shared via his investigations channel, he claimed that HSBG has been involved in “multiple market manipulation incidents” on centralized exchanges, singling out trading around the token RIVER as one of the affected markets.

JUST IN: @zachxbt is offering up to $10K for intel on Hong Kong market maker Heisenberg Guru, also known as HSBG, over alleged links to multiple CEX market manipulation incidents, including $RIVER . pic.twitter.com/Y1xrTJoAuP

According to his statement, the goal of the bounty is to surface hard evidence that could substantiate or refute suspicions circulating in trading circles about HSBG’s tactics on order books. By explicitly framing the offer around “insider information,” ZachXBT is clearly aiming to reach people who have worked with, or inside, the market-making operation and have direct visibility into its strategies and instructions.

He also emphasized that the maximum payout is “up to” $10,000, implying that rewards will scale with the quality, relevance, and verifiability of the submissions rather than being a flat fee. That structure mirrors how he has handled other crowdsourced investigations, where documentation that can be independently confirmed often receives higher compensation than anonymous accusations.

In his call for information, ZachXBT named “Sion” and “Chao” as core members of the HSBG operation, effectively putting specific individuals, rather than just a trading handle, under the spotlight. He suggested that a broad range of materials could be eligible for rewards, including chat records, contracts, and other internal communications that shed light on how HSBG coordinates trading activity on centralized exchanges.

Potential whistleblowers are being asked to submit tips by sending him a private message on X, where he runs most of his public-facing investigative work. While he did not outline an explicit verification process in the initial announcement, his prior investigations have typically involved cross-checking on-chain data, platform logs, and corroborating testimony before publishing detailed reports.

The move underlines the growing role of independent on-chain investigators in policing grey-zone behavior in crypto markets, particularly in areas like thinly traded CEX listings where formal enforcement remains patchy. If the bounty surfaces credible documentation of manipulation linked to HSBG or any associated accounts, it could increase pressure on exchanges to revisit their relationships with certain market makers and potentially spur regulators to take a closer look at trading practices in the Hong Kong-linked segment of the market.",news:cryptonews,https://crypto.news/zachxbt-offers-10000-bounty-for-evidence-against-hong-kong-market-maker-hsbg/,,,hack_security,protocol_incident,market_wide,human_review,medium,alpha_candidate,T1,direct_asset_event_with_price,64.75,,,ZachXBT,,approve_publish,hack_security,protocol_incident,,alpha_candidate,yes,0.8,"publish_decision=human_review,channel_route=alpha_candidate,event_type_l1_specific,asset_missing",false,,true,auto_provisional,,true
approve_publish,onchain_data,protocol_metric,,alpha_candidate,yes,auto_provisional(conf=0.80),publish_review,cand_00081,2026-05-19 08:31:40 UTC+8,2026-05-19T00:31:40Z,2026-05-19 08:31:40 UTC+8,2026-05-19 08:31:40 UTC+8,2026-05-19T00:31:40Z,2026-05-19 08:31:40 UTC+8,Asia/Shanghai,source_rule:webhook,CryptoSlate 文章表示，RWA 代币化市场链上规模已接近 300 亿美元，但真正进入 DeFi 协议的活跃 TVL 仅约 24.7 亿美元，不到 10%。文章援引 DefiLlama 数据称，债券和货币市场基金、黄金、大宗商品及股,"CryptoSlate 文章表示，RWA 代币化市场链上规模已接近 300 亿美元，但真正进入 DeFi 协议的活跃 TVL 仅约 24.7 亿美元，不到 10%。文章援引 DefiLlama 数据称，债券和货币市场基金、黄金、大宗商品及股票类 RWA 多采用许可发行、KYC 和转让代理等架构，限制其进入开放 DeFi 协议；私募信贷则因产品原本按借贷场景设计，DeFi 使用率相对更高，约为 39%。文章认为，当前 RWA 市场正在分化为“受监管链上金融”和“DeFi 可组合资产”两条路径。
https://t.co/TrI6Oxe7eM",webhook,,,,onchain_data,protocol_metric,market_wide,human_review,medium,alpha_candidate,T1,direct_asset_event_with_price,61.75,,,US Dollar|RWA|DeFi|DefiLlama,,approve_publish,onchain_data,protocol_metric,,alpha_candidate,yes,0.8,"publish_decision=human_review,channel_route=alpha_candidate,event_type_l1_specific,asset_missing",false,,true,auto_provisional,,true
approve_publish,regulation_macro,regulation,ADA,macro_policy,yes,auto_provisional(conf=0.90),publish_review,cand_00003,2026-05-19 10:37:19 UTC+8,2026-05-19T02:37:19Z,2026-05-19 10:37:19 UTC+8,2026-05-19 10:37:19 UTC+8,2026-05-19T02:37:19Z,2026-05-19 10:37:19 UTC+8,UTC,source_rule:news:cointelegraph,SEC Exemption Tokenized Stock Trading: Report,"SEC Exemption Tokenized Stock Trading: Report Ecosystem English News Markets Features Learn Sponsored About XMR $390.32 1.60% LINK $9.73 2.83% DOGE $0.1044 0.15% ADA $0.2519 1.30% BTC $76,970 0.22% ZEC $566.99 6.48% SOL $85.20 0.72% XRP $1.38 0.02% BCH $382.22 3.47% ETH $2,134 0.89% HYPE $47.67 5.19% TRX $0.3571 0.24% BNB $643.64 0.55% Written by Brayden Lindrea ⁠, Staff Writer. Reviewed by Felix Ng ⁠, Staff Editor. Written by Brayden Lindrea ⁠, Staff Writer. Reviewed by Felix Ng ⁠, Staff Editor. SEC to make ‘innovation exemption’ for tokenized stock trading: Report Latest News Published May 19, 2026 Several SEC officials reportedly didn’t support the decision, while tokenization platform Securitize flagged risks with enabling third-party platforms to issue tokenized stocks. The US Securities and Exchange Commission is reportedly making an “innovation exemption” for blockchain-based tokenized trading of public companies, even those that don’t consent to the third-party tokens tracking their share prices. Bloomberg reported on Monday that the exemption could come as early as this week, expanding the trading of public companies beyond traditional stock exchanges to decentralized crypto platforms. The SEC reportedly spoke with “hundreds of market participants” for feedback on how best to tailor the rules for tokenized trading and proposed that third-party tokens carry the same benefits as common stock, such as voting rights and dividends, or risk being delisted. Details haven’t been finalized and could change before the exemption is made, Bloomberg reported, citing people familiar with the matter. SEC Commissioner Hester Peirce led the push for tokenized stock trading to receive an innovation exemption, the sources said. Blockchain-based tokenization has attracted growing interest from Wall Street firms over the past few years, as it’s seen as offering potentially greater efficiencies for trading and settlement than traditional systems. The New York Stock Exchange’s parent, Intercontinental Exchange, said in January that it would launch a tokenization platform for 24/7 trading and settlement of stocks and exchange-traded funds using a blockchain post-trade system, marking one of the biggest developments in the tokenization space to date. Source: Nate Geraci Bullish, the crypto exchange led by former NYSE president Tom Farley, also strengthened its tokenization capabilities earlier this month with its $4.2 billion acquisition of transfer agent platform Equiniti. Backers of tokenized stock trading have also said the technology can promote financial inclusion by enabling individuals without access to US markets or traditional brokerage accounts to gain exposure to public companies including Nvidia (NVDA), Google (GOOGL) and Tesla (TSLA). Related: Kraken parent Payward sees revenue surge as tokenization expands Despite the expected exemption, some SEC officials do not support the decision to allow tokenized stock trading, according to the sources. Cointelegraph reached out to the SEC for comment but did not receive an immediate response. Securitize president pushes back against exemption Meanwhile, Brett Redfearn, president of one of the biggest crypto-native tokenization platforms, Securitize, expressed concerns over the SEC’s expected exemption, arguing that enabling third parties to tokenize stock “without an issuer at the table” could lead to fragmentation issues. It could leave investors less certain over what their shares are worth, Redfearn said. Source: Securitize Tokenized trading has also expanded into the pre-IPO space, enabling investors to gain exposure to sought-after private companies before they go public. However, some of these companies, including OpenAI and Anthropic, have opposed unauthorized tokenized stocks tracking their valuations. The SEC’s tokenization move comes after the Senate Banking Committee advanced the CLARITY Act on Thursday, setting it up for a full Senate floor vote next month. Several industry pundits, including “Shark Tank” investor Kevin O’Leary, have said Wall Street firms won’t fully embrace tokenization unless there is a framework like the CLARITY Act in place and that issues over ownership are ironed out. Magazine: eToro founder timed Bitcoin top perfectly due to belief in 4 year cycles Cointelegraph is committed to independent, transparent journalism. This news article is produced in accordance with Cointelegraph’s Editorial Policy and aims to provide accurate and timely information. Readers are encouraged to verify information independently. Tokenization Wall Street Stocks Trading SEC Blockchain More on the subject SBI, Rakuten, Nomura line up to launch crypto investment trusts: Report May 17, 2026 Amin Haqshanas When prediction markets go wrong: Who decides what counts as the truth? May 16, 2026 Dilip Kumar Patairya Kraken joins LayerZero exodus as it switches to Chainlink CCIP May 15, 2026 Martin Young SBI, Rakuten, Nomura line up to launch crypto investment trusts: Report May 17, 2026 Amin Haqshanas When prediction markets go wrong: Who decides what counts as the truth? May 16, 2026 Dilip Kumar Patairya Kraken joins LayerZero exodus as it switches to Chainlink CCIP May 15, 2026 Martin Young News Latest News Markets Bitcoin Ethereum Altcoins Blockchain Regulation Sponsored Sponsored Articles Press Releases Research Ecosystem Magazine Accelerator Events Decentralization Guardians LONGITUDE Event About About Cointelegraph Editorial Policy Ads Disclosure Financial Risk Disclaimer Cointelegraph is committed to providing independent, high-quality journalism across the crypto, blockchain, AI, and fintech industries. All news, reviews, and analyses are produced with full journalistic independence and integrity. For more details on our standards and processes, please read our Editorial Policy . © Cointelegraph 2013 - 2026 Terms of Service and Privacy Policy",news:cointelegraph,https://cointelegraph.com/news/sec-to-make-innovation-exemption-for-tokenized-stock-trading-report?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,ADA,,regulation_macro,regulation,multi_asset,human_review,medium,macro_policy,T2,market_wide_or_policy_event,59.0,,,Bitcoin|Ethereum|Solana|BNB|XRP|Dogecoin|Cardano|Chainlink|Hyperliquid|Zcash|TRON|Bitcoin Cash|Monero|SEC|RWA,multiple_assets_detected,approve_publish,regulation_macro,regulation,ADA,macro_policy,yes,0.9,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,event_scope=multi_asset,asset_present,relevance_score<60",false,,true,auto_provisional,,true
approve_publish,regulation_macro,macro,ADA,macro_policy,yes,auto_provisional(conf=0.90),publish_review,cand_00153,2026-05-19 06:49:27 UTC+8,2026-05-18T22:49:27Z,2026-05-19 06:49:27 UTC+8,2026-05-19 06:49:27 UTC+8,2026-05-18T22:49:27Z,2026-05-19 06:49:27 UTC+8,UTC,source_rule:news:cointelegraph,Odds against Interest Rate Cuts High as New US Fed Chair to be Sworn in,"Odds against Interest Rate Cuts High as New US Fed Chair to be Sworn in Ecosystem English News Markets Features Learn Sponsored About XMR $383.14 2.54% LINK $9.58 0.45% DOGE $0.1047 4.00% ADA $0.2516 0.38% BTC $77,018 0.91% ZEC $561.65 3.98% SOL $85.40 0.37% XRP $1.39 1.08% BCH $379.01 6.75% ETH $2,133 1.33% HYPE $47.41 3.72% TRX $0.3558 0.00% BNB $644.22 1.03% Written by Turner Wright ⁠, Staff Writer. Reviewed by Robert Lakin ⁠, Staff Editor. Written by Turner Wright ⁠, Staff Writer. Reviewed by Robert Lakin ⁠, Staff Editor. Odds against rate cuts high as new US Fed chair set for swearing in Latest News Published May 18, 2026 Many experts voiced concerns that the confirmation of Kevin Warsh as Federal Reserve chair would lead to uncertainty about the central bank’s independence, particularly in setting interest rates. Kevin Warsh is set to be sworn in as the next chair of the US Federal Reserve Board of Governors on Friday amid speculation about whether he'll do what US President Donald Trump hopes he does: Lower interest rates once in office. On Wednesday, the US Senate voted largely along party lines to confirm Warsh as the next Fed chair, succeeding Jerome Powell. While Trump nominated both Fed governors in different terms, the president repeatedly threatened to fire Powell in recent months, saying that the Fed chair “should be lowering interest rates.” Source: Kalshi With Warsh expected to assume his role as Fed chair on Friday, prediction market platforms like Kalshi are offering users 38.2% chances on event contracts betting that the central bank will lower interest rates before 2027, dropping from 96% in February. In contrast, CME FedWatch shows a 98.8% probability that the Fed would not change its interest rates, currently at 3.50% to 3.75%, until the end of June, with a more than 94% chance of the same through July. As Fed chair, Warsh will have significant influence in helping policy makers determine federal interest rates. With Powell, Trump repeatedly called for the Fed chair to cut rates on social media and said in April he would be disappointed if Warsh didn’t immediately move to do the same if confirmed. The next meeting of the Federal Open Market Committee, at which interest rates could be changed, is scheduled for June 16. Related: Bitcoin, stocks risk 'months' of losses as Kevin Warsh Becomes Fed chair At Warsh’s confirmation hearing in the Senate Banking Committee, Massachusetts Senator Elizabeth Warren said confirming him could result in the Fed “granting special accounts to [the Trump family’s] crypto company or bailouts to his friends on Wall Street if they get into trouble.” Warsh disclosed more than $100 million in assets ahead of the April hearing, including investments in AI and crypto companies. US lawmakers awaiting CFTC nominations With Warsh set to be sworn in on Friday, lawmakers are still looking to Trump to announce nominations for the US federal commodities regulator, the Commodity Futures Trading Commission (CFTC). Since December, the CFTC has been led solely by Trump’s pick Michael Selig, who took over from acting chair Caroline Pham. The federal regulator has since taken a strong position on attempting to exclusively oversee prediction markets platforms like Kalshi and Polymarket amid US state authorities filing lawsuits against the companies over sports betting. On Friday, the Republican and Democratic leaders of the House Committee on Agriculture called on Trump to “nominate a full panel” of CFTC commissioners, citing “urgent regulatory issues.” Specifically, the lawmakers voiced concerns about CFTC rulemaking if the Digital Asset Market Clarity Act (CLARITY), a bill to establish market structure for cryptocurrencies, became law. Magazine: ETH stalls at $2.4K five times, SOL to rally to $120: Market Moves Cointelegraph is committed to independent, transparent journalism. This news article is produced in accordance with Cointelegraph’s Editorial Policy and aims to provide accurate and timely information. Readers are encouraged to verify information independently. Federal Reserve United States Politics Economics Interest Rate Regulation More on the subject Galaxy secures New York BitLicense to expand institutional crypto services 1 hour ago Sam Bourgi Minnesota legalizes crypto custody services for banks, credit unions 6 hours ago Turner Wright UK proposes near-24/7 settlement to prepare markets for tokenization 9 hours ago Zoltan Vardai Galaxy secures New York BitLicense to expand institutional crypto services 1 hour ago Sam Bourgi Minnesota legalizes crypto custody services for banks, credit unions 6 hours ago Turner Wright UK proposes near-24/7 settlement to prepare markets for tokenization 9 hours ago Zoltan Vardai News Latest News Markets Bitcoin Ethereum Altcoins Blockchain Regulation Sponsored Sponsored Articles Press Releases Research Ecosystem Magazine Accelerator Events Decentralization Guardians LONGITUDE Event About About Cointelegraph Editorial Policy Ads Disclosure Financial Risk Disclaimer Cointelegraph is committed to providing independent, high-quality journalism across the crypto, blockchain, AI, and fintech industries. All news, reviews, and analyses are produced with full journalistic independence and integrity. For more details on our standards and processes, please read our Editorial Policy . © Cointelegraph 2013 - 2026 Terms of Service and Privacy Policy",news:cointelegraph,https://cointelegraph.com/news/interest-rates-fed-chair-kevin-warsh-sworn-in?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,ADA,,regulation_macro,macro,multi_asset,human_review,medium,macro_policy,T2,market_wide_or_policy_event,59.0,,,Bitcoin|Ethereum|Solana|BNB|XRP|Dogecoin|Cardano|Chainlink|Hyperliquid|Zcash|TRON|Bitcoin Cash|Monero|Federal Reserve|Interest Rate|Kevin Warsh,multiple_assets_detected,approve_publish,regulation_macro,macro,ADA,macro_policy,yes,0.9,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,event_scope=multi_asset,asset_present,relevance_score<60",false,,true,auto_provisional,,true
approve_publish,whale_position,whale_wallet_position,,alpha_candidate,yes,auto_provisional(conf=0.80),publish_review,cand_00142,2026-05-19 07:01:58 UTC+8,2026-05-18T23:01:58Z,2026-05-19 07:01:58 UTC+8,2026-05-19 07:01:58 UTC+8,2026-05-18T23:01:58Z,2026-05-19 07:01:58 UTC+8,Asia/Shanghai,source_rule:webhook,加密市场24小时清算金额达8.55亿美元,币界网消息，据Cointelegraph报道，过去24小时内，加密市场的清算金额达8.549亿美元，其中超过7.41亿美元来自多头头寸的清算。,webhook,,,,whale_position,whale_wallet_position,market_wide,human_review,medium,alpha_candidate,T1,direct_asset_event_with_price,64.75,,,US Dollar,,approve_publish,whale_position,whale_wallet_position,,alpha_candidate,yes,0.8,"publish_decision=human_review,channel_route=alpha_candidate,event_type_l1_specific,asset_missing",false,,true,auto_provisional,,true
discard,hack_security,exploit_or_theft,,alpha_candidate,no,auto_provisional(conf=0.95),discard_audit,cand_00403,2026-05-19 01:59:40 UTC+8,2026-05-18T17:59:40Z,2026-05-19 01:59:40 UTC+8,2026-05-19 01:59:40 UTC+8,2026-05-18T17:59:40Z,2026-05-19 01:59:40 UTC+8,UTC,source_rule:news:cryptonews,Lotment Capital announces a new standard in client success,"Disclosure: This article does not represent investment advice. The content and materials featured on this page are for educational purposes only.

Lotment Capital expands multi-asset strategy access, including crypto investment tools for users.

Lotment Capital is committed to supporting users every step of the way, offering a wide range of tools and solutions that help them focus on decision-making and the implementation of their ideas. The company has created a system that combines a diverse range of assets, a functional platform, and the professional support of its team. This empowers clients to optimise their time and make data-driven decisions.

One of Lotment Capital advantages is access to a wide range of financial instruments. The company offers customers the opportunity to work with assets across various categories, including cryptocurrencies, paving the way for the creation of flexible and promising portfolios. This diversity allows investors to evaluate the strengths of each segment, combining tools with different characteristics and growth potential.

Working with multiple areas allows clients to develop a strategy that aligns with their personal goals and trading style. Some choose assets with stable dynamics, others prefer more innovative instruments or combine both approaches. Lotment Capital creates an environment where every investor can find a suitable option and effectively exploit its opportunities.

Furthermore, access to cryptocurrencies opens up additional opportunities, as this segment continues to grow rapidly. The ability to include digital assets in a portfolio makes working with the company particularly attractive for those seeking to make a profit on current market trends and unique conditions.

A functional platform is the foundation of a successful investor, and Lotment Capital places special emphasis on this area. The company provides clients with access to a wide range of tools that help them analyse the market, manage trades, and build strategies based on current information.

The platform includes analytical solutions that allow the customer to track asset dynamics, identify patterns, and find new entry points. Thanks to its user-friendly interface, investors can quickly navigate data and make decisions based on objective information.

Additional trade management tools help clients effectively control customers’ positions. The ability to flexibly adjust parameters and quickly respond to market makes working more convenient and productive. The Lotment Capital platform is designed to ensure that every user can work in a comfortable environment and utilise all available features to their full potential.

Another key advantage of Lotment Capital is the ability to receive assistance from a team of experienced specialists. Clients can contact the company’s professionals for advice on specific situations or to create a comprehensive strategy tailored to their goals.

This support is especially valuable for those seeking to develop and improve their skills. Specialists help analyse the market, identify promising areas, and make decisions based on objective data. This allows clients to feel confident and move forward with a clear understanding of their steps.

Furthermore, the ability to receive individualised recommendations makes working with Lotment Capital more personalised. Each investor receives attention and support that helps them achieve their goals and maximise the market’s potential.

By combining a wide selection of assets, a functional platform, and professional support, Lotment Capital creates an atmosphere in which clients can confidently grow and achieve impressive results on an ongoing basis. The company strives to provide users with all the necessary tools and opportunities to help every investor realise their potential and build a successful strategy. This approach allows them to enjoy a comfortable trading environment.

The company’s format of interaction creates a solid foundation for long-term cooperation. This makes it a partner for those striving for success and looking to confidently move forward in the world of investing.

Disclosure: This content is provided by a third party. Neither crypto.news nor the author of this article endorses any product mentioned on this page. Users should conduct their own research before taking any action related to the company.",news:cryptonews,https://crypto.news/lotment-capital-announces-a-new-standard-in-client-success/,,,hack_security,exploit_or_theft,market_wide,discard,discard,alpha_candidate,T1,direct_asset_event_with_price,66.25,scraped_footer_noise,,Strategy|Hacker,scraped_footer_noise,discard,hack_security,exploit_or_theft,,alpha_candidate,no,0.95,"publish_decision=discard,channel_route=alpha_candidate,event_type_l1_specific,asset_missing",false,,true,auto_provisional,,true
keep_review,network_upgrade,upgrade_or_fork,,research_only,yes,auto_fill_unlabeled(conf=0.6),publish_review,cand_00274,2026-05-19 04:30:17 UTC+8,2026-05-18T20:30:17Z,2026-05-19 04:30:17 UTC+8,2026-05-19 04:30:17 UTC+8,2026-05-18T20:30:17Z,2026-05-19 04:30:17 UTC+8,Asia/Shanghai,source_rule:webhook,币安链推出BNBAgent SDK，支持AI代理使用链上身份,币界网消息，据Cointelegraph报道，币安链已在主网上推出BNBAgent SDK，允许AI代理使用链上身份、自动支付和持久记忆功能。,webhook,,,,network_upgrade,upgrade_or_fork,unknown,human_review,medium,research_only,T3,default_research_only,60.25,,,Binance|AI,,keep_review,network_upgrade,upgrade_or_fork,,research_only,yes,0.6,"publish_decision=human_review,channel_route=research_only,event_type_l1_specific,event_scope=unknown,asset_missing",false,,true,auto_medium_conf_review_required,,true
keep_review,onchain_data,protocol_metric,ONDO,unsupported_research,yes,auto_provisional(conf=0.90),publish_review,cand_00392,2026-05-19 02:10:16 UTC+8,2026-05-18T18:10:16Z,2026-05-19 02:10:16 UTC+8,2026-05-19 02:10:16 UTC+8,2026-05-18T18:10:16Z,2026-05-19 02:10:16 UTC+8,Asia/Shanghai,source_rule:webhook,"🔥 BULLISH: Tokenized stocks on Ondo Finance crossed $1.5B in TVL, with Ondo’s top five assets making up 25% of the secto","🔥 BULLISH: Tokenized stocks on Ondo Finance crossed $1.5B in TVL, with Ondo’s top five assets making up 25% of the sector. https://t.co/mB1XFBX0VF",webhook,,ONDO,,onchain_data,protocol_metric,unknown,human_review,medium,unsupported_research,T4,unsupported_asset_research_only,64.25,,,Ondo|RWA,,keep_review,onchain_data,protocol_metric,ONDO,unsupported_research,yes,0.9,"publish_decision=human_review,channel_route=unsupported_research,event_type_l1_specific,event_scope=unknown,asset_present",false,,true,auto_provisional,,true
keep_review,project_business,rwa_tokenization,,research_only,yes,auto_fill_unlabeled(conf=0.5),publish_review,cand_00247,2026-05-19 05:05:34 UTC+8,2026-05-18T21:05:34Z,2026-05-19 05:05:34 UTC+8,2026-05-19 05:05:34 UTC+8,2026-05-18T21:05:34Z,2026-05-19 05:05:34 UTC+8,Asia/Shanghai,source_rule:webhook,美国证券交易委员会准备允许基于区块链的代币化股票交易,币界网消息，据WatcherGuru报道，美国证券交易委员会（SEC）正在准备允许基于区块链的代币化股票交易。,webhook,,,,project_business,rwa_tokenization,unknown,human_review,medium,research_only,T3,indirect_or_research_only,58.75,,,SEC|RWA,,keep_review,project_business,rwa_tokenization,,research_only,yes,0.5,"publish_decision=human_review,channel_route=research_only,event_type_l1_specific,event_scope=unknown,asset_missing,relevance_score<60",false,,true,auto_medium_conf_review_required,,true
keep_review,project_business,payment_adoption,,research_only,yes,auto_fill_unlabeled(conf=0.5),publish_review,cand_00317,2026-05-19 03:45:00 UTC+8,2026-05-18T19:45:00Z,2026-05-19 03:45:00 UTC+8,2026-05-19 03:45:00 UTC+8,2026-05-18T19:45:00Z,2026-05-19 03:45:00 UTC+8,Asia/Shanghai,source_rule:webhook,"⚡️REVOLUT LAUNCHES FIRST PHYSICAL CRYPTO CARD

Revolut unveiled its first physical crypto card as crypto-linked payments","⚡️REVOLUT LAUNCHES FIRST PHYSICAL CRYPTO CARD

Revolut unveiled its first physical crypto card as crypto-linked payments see wider adoption. https://t.co/AHzvwBSSZm",webhook,,,,project_business,payment_adoption,unknown,human_review,medium,research_only,T3,indirect_or_research_only,58.75,,,Revolut|Crypto Card,,keep_review,project_business,payment_adoption,,research_only,yes,0.5,"publish_decision=human_review,channel_route=research_only,event_type_l1_specific,event_scope=unknown,asset_missing,relevance_score<60",false,,true,auto_medium_conf_review_required,,true
